type,idx,sec_idx,loc,n_per_seg
AMPA,0,35,0.9,0
AMPA,0,36,0.1,0
AMPA,0,36,0.3,0
AMPA,0,36,0.5,0
AMPA,0,36,0.7,1
AMPA,0,36,0.9,0
AMPA,0,37,0.16666666666666666,0
AMPA,0,37,0.5,0
AMPA,0,37,0.8333333333333334,0
AMPA,0,38,0.1,0
AMPA,0,38,0.3,0
AMPA,0,38,0.5,0
AMPA,0,38,0.7,0
AMPA,0,38,0.9,0
AMPA,0,39,0.5,0
AMPA,0,40,0.5,0
AMPA,0,41,0.07142857142857142,1
AMPA,0,41,0.21428571428571427,3
AMPA,0,41,0.35714285714285715,2
AMPA,0,41,0.5,0
AMPA,0,41,0.6428571428571429,2
AMPA,0,41,0.7857142857142857,1
AMPA,0,41,0.9285714285714286,0
AMPA,0,42,0.5,0
AMPA,0,43,0.1,0
AMPA,0,43,0.3,0
AMPA,0,43,0.5,0
AMPA,0,43,0.7,1
AMPA,0,43,0.9,0
AMPA,0,44,0.16666666666666666,1
AMPA,0,44,0.5,0
AMPA,0,44,0.8333333333333334,0
AMPA,0,45,0.16666666666666666,1
AMPA,0,45,0.5,0
AMPA,0,45,0.8333333333333334,0
AMPA,0,46,0.5,0
AMPA,0,47,0.16666666666666666,1
AMPA,0,47,0.5,0
AMPA,0,47,0.8333333333333334,1
AMPA,0,48,0.1,2
AMPA,0,48,0.3,1
AMPA,0,48,0.5,1
AMPA,0,48,0.7,0
AMPA,0,48,0.9,1
AMPA,0,49,0.5,1
AMPA,0,50,0.1,2
AMPA,0,50,0.3,1
AMPA,0,50,0.5,0
AMPA,0,50,0.7,0
AMPA,0,50,0.9,1
AMPA,0,51,0.1,0
AMPA,0,51,0.3,0
AMPA,0,51,0.5,0
AMPA,0,51,0.7,0
AMPA,0,51,0.9,1
